ProblemSize,RUNS,TotalParticles,AvgE2ETime,AvgAlgoTime
8,67108864,536870912,1.722937369,1.722934807
16,33554432,536870912,1.634810671,1.634809673
32,16777216,536870912,1.840671612,1.840668243
64,8388608,536870912,1.715168347,1.715166089
128,4194304,536870912,1.697109561,1.697105640
256,2097152,536870912,1.661334301,1.661323364
512,1048576,536870912,1.633197380,1.633177632
1024,524288,536870912,1.637794724,1.637760606
2048,262144,536870912,1.627067939,1.626999606
4096,131072,536870912,1.626341856,1.626208616
8192,65536,536870912,1.630367198,1.630098087
16384,32768,536870912,1.635501702,1.634940019
32768,16384,536870912,1.640742749,1.639556437
65536,8192,536870912,1.637864722,1.635527791
131072,4096,536870912,1.638786282,1.634073169
262144,2048,536870912,1.641963170,1.632402142
524288,1024,536870912,1.657750114,1.639742868
1048576,512,536870912,1.706106349,1.670644137
2097152,256,536870912,1.798417392,1.729958905
4194304,128,536870912,1.865391268,1.729802229
8388608,64,536870912,1.999547257,1.729813287
16777216,32,536870912,2.266177985,1.727714742
33554432,16,536870912,2.802163789,1.727484563
67108864,8,536870912,3.875136621,1.727774047
134217728,4,536870912,6.134258151,1.803516639
268435456,2,536870912,10.321263199,1.727111465
536870912,1,536870912,18.908551161,1.727078991
