ProblemSize,RUNS,TotalParticles,AvgE2ETime,AvgAlgoTime
8,67108864,536870912,2.247202662,2.247157245
16,33554432,536870912,2.139459653,2.139458884
32,16777216,536870912,2.126048336,2.126047250
64,8388608,536870912,2.126547615,2.126545754
128,4194304,536870912,2.067177783,2.067172535
256,2097152,536870912,2.026094230,2.026085973
512,1048576,536870912,2.068186660,2.068170103
1024,524288,536870912,2.069812745,2.069781295
2048,262144,536870912,2.071699962,2.071638514
4096,131072,536870912,2.072131992,2.072007571
8192,65536,536870912,2.093447515,2.093196228
16384,32768,536870912,2.010470795,2.009938451
32768,16384,536870912,2.005263601,2.004136836
65536,8192,536870912,2.009952356,2.007727914
131072,4096,536870912,2.012748796,2.008349074
262144,2048,536870912,2.040965665,2.032211671
524288,1024,536870912,2.045752373,2.029148257
1048576,512,536870912,2.218765535,2.186808141
2097152,256,536870912,2.278973778,2.214187154
4194304,128,536870912,2.341714547,2.211265823
8388608,64,536870912,2.473528515,2.212839395
16777216,32,536870912,2.737868670,2.215753710
33554432,16,536870912,3.260450842,2.217138236
67108864,8,536870912,4.301960287,2.216134205
134217728,4,536870912,6.391952313,2.220942181
268435456,2,536870912,10.560342007,2.220730326
536870912,1,536870912,19.519422032,2.541735516
