Grid,Points,Imm_Interp,Imm_Mover,Imm_Total,Def_Interp,Def_Mover,Def_Total
250x100,100,1.509041e-04,1.363456e-05,1.645386e-04,7.587671e-05,1.467764e-05,9.055436e-05
250x100,10000,1.494408e-03,1.334175e-03,2.828583e-03,1.383349e-03,1.385987e-03,2.769336e-03
250x100,1000000,1.251400e-01,1.297444e-01,2.548844e-01,1.247046e-01,1.465224e-01,2.712270e-01
250x100,100000000,1.256029e+01,1.293550e+01,2.549579e+01,1.251179e+01,1.455629e+01,2.706807e+01
250x100,1000000000,1.262607e+02,1.303754e+02,2.566361e+02,1.248047e+02,1.525330e+02,2.773377e+02
500x200,100,5.989522e-04,1.394749e-05,6.128997e-04,3.569424e-04,1.446903e-05,3.714114e-04
500x200,10000,1.901060e-03,1.291841e-03,3.192902e-03,1.769617e-03,1.365259e-03,3.134876e-03
500x200,1000000,1.533670e-01,1.284282e-01,2.817952e-01,1.525038e-01,1.431882e-01,2.956920e-01
500x200,100000000,1.506056e+01,1.279367e+01,2.785424e+01,1.503289e+01,1.426740e+01,2.930029e+01
500x200,1000000000,1.571384e+02,1.286368e+02,2.857752e+02,1.574350e+02,1.502879e+02,3.077229e+02
1000x400,100,2.063692e-03,1.314282e-05,2.076834e-03,1.819208e-03,1.446903e-05,1.833677e-03
1000x400,10000,4.947245e-03,1.327336e-03,6.274581e-03,4.830718e-03,1.339018e-03,6.169736e-03
1000x400,1000000,1.608211e-01,1.267602e-01,2.875813e-01,1.597102e-01,1.424311e-01,3.021413e-01
1000x400,100000000,1.568292e+01,1.274684e+01,2.842976e+01,1.558353e+01,1.417588e+01,2.975941e+01
1000x400,1000000000,1.593734e+02,1.292207e+02,2.885942e+02,1.529938e+02,1.469316e+02,2.999255e+02
