Grid,Points,Imm_Interp,Imm_Mover,Imm_Total,Def_Interp,Def_Mover,Def_Total
250x100,100,7.812100e-05,6.898000e-06,8.501900e-05,3.113600e-05,7.962000e-06,3.909800e-05
250x100,10000,4.252860e-04,6.203080e-04,1.045594e-03,3.716470e-04,6.873790e-04,1.059026e-03
250x100,1000000,3.710229e-02,6.322363e-02,1.003259e-01,3.514719e-02,6.803897e-02,1.031862e-01
250x100,100000000,3.565142e+00,6.070669e+00,9.635811e+00,3.575446e+00,7.230027e+00,1.080547e+01
250x100,1000000000,2.451898e+02,2.590537e+02,5.042435e+02,2.286200e+02,4.740187e+02,7.026387e+02
500x200,100,1.057601e-03,7.384998e-06,1.064986e-03,1.240170e-04,8.149002e-06,1.321660e-04
500x200,10000,5.579670e-04,6.507740e-04,1.208741e-03,5.012010e-04,7.473500e-04,1.248551e-03
500x200,1000000,3.893295e-02,6.278849e-02,1.017214e-01,3.612222e-02,6.772095e-02,1.038432e-01
500x200,100000000,3.829322e+00,6.302370e+00,1.013169e+01,3.704405e+00,7.142624e+00,1.084703e+01
500x200,1000000000,2.230325e+02,2.250492e+02,4.480817e+02,2.513287e+02,5.250149e+02,7.763436e+02
1000x400,100,7.248329e-03,6.585000e-06,7.254914e-03,7.600030e-04,7.658999e-06,7.676620e-04
1000x400,10000,1.815748e-03,6.071030e-04,2.422851e-03,1.498967e-03,6.922860e-04,2.191253e-03
1000x400,1000000,8.783933e-02,7.161716e-02,1.594565e-01,7.519768e-02,6.778861e-02,1.429863e-01
1000x400,100000000,7.413253e+00,6.022632e+00,1.343589e+01,7.399295e+00,7.025048e+00,1.442434e+01
1000x400,1000000000,2.068774e+02,1.958644e+02,4.027418e+02,2.307104e+02,4.126864e+02,6.433968e+02
