X,Y
0.310321,0.640655
0.734480,0.925416
0.721040,0.543247
0.288993,0.719477
0.504180,0.992413
0.682373,0.747137
0.534024,0.866257
0.642283,0.221316
0.107126,0.306694
0.275701,0.660235
0.567607,0.593929
0.315054,0.777483
0.433643,0.162073
0.318007,0.403558
0.823709,0.227312
0.152509,0.181100
0.629894,0.563840
0.606295,0.532825
0.164528,0.895295
0.636097,0.942223
0.551489,0.311938
0.979666,0.374040
0.214150,0.727390
0.142531,0.592023
0.259852,0.995012
0.047665,0.101610
0.759045,0.215732
0.888838,0.585774
0.895156,0.255518
0.412307,0.634951
0.586950,0.901344
0.321464,0.277467
0.392297,0.669572
0.899807,0.515262
0.332371,0.531194
0.103051,0.954554
0.255691,0.948778
0.233360,0.691888
0.090803,0.988556
0.343292,0.624236
0.766041,0.977450
0.120802,0.777357
0.774668,0.477845
0.522583,0.905469
0.201208,0.401040
0.366102,0.074359
0.201910,0.009215
0.179501,0.726828
0.497226,0.677403
0.968570,0.801134
0.891598,0.834839
0.436655,0.449757
0.967371,0.757325
0.853157,0.157770
0.730382,0.323491
0.728708,0.541941
0.603859,0.889071
0.290191,0.566559
0.648486,0.986387
0.927136,0.714602
0.843661,0.656877
0.806156,0.754611
0.163950,0.628370
0.022185,0.800075
0.777348,0.449611
0.459152,0.817427
0.595790,0.799524
0.808332,0.322064
0.880318,0.620425
0.505022,0.067203
0.160478,0.569859
0.122039,0.420331
0.367640,0.526465
0.540591,0.651928
0.281323,0.775495
0.892865,0.871093
0.463394,0.112983
0.903788,0.176025
0.296396,0.604375
0.231321,0.635902
0.421291,0.643153
0.040743,0.596464
0.690858,0.661909
0.469116,0.193078
0.452700,0.766400
0.177096,0.453447
0.438150,0.804257
0.019484,0.847703
0.244016,0.527585
0.667392,0.256001
0.335631,0.585029
0.900829,0.406351
0.918909,0.934444
0.475472,0.723473
0.084203,0.103327
0.087840,0.143217
0.733990,0.331804
0.502130,0.695161
0.291046,0.680501
0.515384,0.719821
0.674674,0.368772
0.457214,0.499146
0.139971,0.419132
0.866528,0.057061
0.647738,0.148425
0.495900,0.168235
0.376700,0.667842
0.993533,0.479732
0.987647,0.625150
0.825523,0.433937
0.091372,0.042913
0.192291,0.678110
0.779194,0.897980
0.513894,0.221139
0.690157,0.576021
0.677855,0.958681
0.749642,0.626916
0.885781,0.907787
0.318881,0.285157
0.841960,0.897941
0.743185,0.837031
0.319919,0.465467
0.255153,0.502543
0.708725,0.607497
0.583371,0.787437
0.561105,0.898048
0.592050,0.855786
0.449388,0.316569
0.849537,0.375541
0.426473,0.192736
0.378559,0.544669
0.537839,0.429529
0.016870,0.393932
0.614085,0.151752
0.945125,0.364545
0.187676,0.509648
0.737264,0.755385
0.565355,0.119086
0.548804,0.539850
0.067366,0.811458
0.061666,0.820329
0.839891,0.191105
0.951825,0.641962
0.878119,0.962343
0.861239,0.488063
0.332497,0.346141
0.245266,0.914808
0.372342,0.592063
0.360761,0.372668
0.812881,0.554872
0.361404,0.631629
0.569029,0.623257
0.839669,0.439153
0.659044,0.204029
0.414774,0.908131
0.079510,0.903076
0.082627,0.957503
0.418108,0.908447
0.266461,0.574801
0.833434,0.558885
0.295739,0.597012
0.207908,0.194316
0.887738,0.811468
0.260688,0.514796
0.134987,0.258798
0.280454,0.400254
0.228664,0.307899
0.945889,0.975616
0.816018,0.193945
0.556728,0.894385
0.039888,0.756551
0.884380,0.367224
0.487093,0.440448
0.194302,0.843841
0.434475,0.741071
0.444167,0.700258
0.354517,0.869199
0.396658,0.353550
0.243626,0.282237
0.293162,0.162442
0.169301,0.300599
0.790377,0.476967
0.165296,0.500065
0.233921,0.745141
0.660228,0.136779
0.154780,0.973132
0.896997,0.632849
0.854279,0.616043
0.758219,0.235718
0.181189,0.782211
0.130575,0.093411
0.714003,0.782296
0.109683,0.846018
0.326660,0.360428
0.356713,0.547829
0.531050,0.136072
0.767993,0.821346
0.825231,0.955538
0.413799,0.244690
0.114804,0.398336
0.221860,0.169521
0.407340,0.298838
0.839213,0.270546
0.502266,0.434009
0.536466,0.041448
0.344585,0.183313
0.877258,0.615370
0.304080,0.180488
0.896157,0.819201
0.440089,0.416151
0.491601,0.824759
0.474276,0.176546
0.764971,0.379770
0.825414,0.111726
0.943630,0.511600
0.924853,0.323795
0.825569,0.120414
0.609418,0.652351
0.597174,0.182666
0.045906,0.505681
0.692225,0.193054
0.171624,0.999706
0.371456,0.759905
0.069227,0.747666
0.956264,0.926876
0.300656,0.876792
0.696253,0.301288
0.931420,0.864379
0.088040,0.219685
0.973051,0.864940
0.690120,0.790772
0.740883,0.370234
0.902937,0.101662
0.448953,0.133965
0.226927,0.691617
0.646868,0.102622
0.081048,0.739948
0.631380,0.447961
0.126146,0.342859
0.065792,0.384663
0.270186,0.573905
0.888944,0.857755
0.762329,0.571470
0.764362,0.443969
0.763577,0.786135
0.622199,0.900519
0.591366,0.861813
0.925220,0.218897
0.682056,0.859562
0.477766,0.836252
0.193430,0.975398
0.620772,0.801725
0.686606,0.444438
0.244266,0.356206
0.250169,0.577790
0.395098,0.106318
0.340904,0.881073
0.880602,0.195509
0.186642,0.927045
0.191531,0.026017
0.980305,0.637193
0.099135,0.513763
0.517475,0.477653
0.487970,0.717378
0.310828,0.365974
0.150778,0.168598
0.808694,0.215351
0.198189,0.235460
0.834017,0.374345
0.590168,0.558703
0.324822,0.596796
0.004980,0.178402
0.102599,0.182659
0.799458,0.320965
0.550594,0.690822
0.787411,0.278601
0.867681,0.567361
0.899392,0.658487
0.614012,0.792167
0.883152,0.408059
0.311191,0.157079
0.607408,0.669855
0.606767,0.621021
0.783627,0.503781
0.874525,0.282484
0.594222,0.798061
0.857329,0.333132
0.199311,0.356784
0.096730,0.097673
0.624825,0.549961
0.832187,0.173358
0.803217,0.168822
0.869215,0.898819
0.710598,0.692550
0.704173,0.342571
0.359295,0.873024
0.097593,0.543075
0.688002,0.881987
0.789391,0.153224
0.390126,0.271602
0.866471,0.493805
0.673714,0.767684
0.902262,0.567722
0.653612,0.733149
0.120509,0.809214
0.532757,0.488855
0.772910,0.465627
0.442791,0.294880
0.623678,0.310091
0.365617,0.076925
0.901639,0.579288
0.400422,0.261484
0.232466,0.056283
0.309247,0.607597
0.940150,0.216749
0.328484,0.760691
0.634884,0.161354
0.664295,0.486141
0.760033,0.917740
0.871003,0.341383
0.662449,0.245773
0.182527,0.655524
0.789682,0.971085
0.457883,0.737410
0.678902,0.911065
0.148813,0.341605
0.764252,0.652082
0.788644,0.663630
0.898855,0.051462
0.981220,0.082737
0.159046,0.434343
0.809026,0.961790
0.118596,0.454851
0.127156,0.681939
0.312380,0.801467
0.620859,0.339865
0.739488,0.562229
0.623996,0.759373
0.925779,0.614582
0.855718,0.187187
0.845264,0.368197
0.502941,0.458153
0.858974,0.863019
0.420188,0.881947
0.015991,0.685567
0.784664,0.767010
0.148396,0.540412
0.166565,0.365667
0.784029,0.834585
0.873292,0.027310
0.559441,0.251913
0.443776,0.171117
0.772302,0.064245
0.428095,0.675586
0.303875,0.648998
0.412960,0.259791
0.900280,0.367173
0.639835,0.537762
0.588807,0.749727
0.173911,0.929678
0.685387,0.693195
0.415674,0.319135
0.157293,0.025276
0.467999,0.588967
0.836958,0.216039
0.360529,0.654782
0.276383,0.088671
0.068902,0.467540
0.748886,0.630471
0.182993,0.278341
0.167400,0.376970
0.431221,0.955002
0.128676,0.836540
0.567260,0.462542
0.856942,0.264924
0.788143,0.678781
0.333622,0.204187
0.526358,0.842338
0.449020,0.146377
0.018601,0.535154
0.692687,0.451611
