Grid,Threads,Base_Interp,Base_Mover,Base_Total,Imm_Interp,Imm_Mover,Imm_Total,Def_Interp,Def_Mover,Def_Total
250x100,2,2.106466e+00,1.086456e+00,3.192922e+00,1.851157e+00,1.033474e+00,2.884631e+00,1.822840e+00,1.312935e+00,3.135776e+00
250x100,4,1.829451e+00,5.485462e-01,2.377997e+00,1.834931e+00,5.463897e-01,2.381320e+00,1.873200e+00,8.274018e-01,2.700602e+00
250x100,8,1.850973e+00,3.962770e-01,2.247250e+00,1.828527e+00,4.236238e-01,2.252151e+00,1.834431e+00,6.957482e-01,2.530180e+00
250x100,16,1.772680e+00,2.841986e-01,2.056878e+00,1.770806e+00,2.733328e-01,2.044139e+00,1.803303e+00,5.301154e-01,2.333418e+00
500x200,2,3.578383e+00,1.033260e+00,4.611643e+00,3.804550e+00,1.051097e+00,4.855647e+00,4.491300e+00,1.277565e+00,5.768864e+00
500x200,4,3.241492e+00,5.371634e-01,3.778655e+00,3.707400e+00,5.468093e-01,4.254209e+00,2.392183e+00,7.536844e-01,3.145868e+00
500x200,8,2.091581e+00,3.128977e-01,2.404479e+00,2.081720e+00,2.887997e-01,2.370520e+00,2.081018e+00,4.895146e-01,2.570533e+00
500x200,16,2.318586e+00,2.519486e-01,2.570535e+00,2.087445e+00,2.610023e-01,2.348447e+00,2.440449e+00,4.872853e-01,2.927734e+00
1000x400,2,3.606936e+00,1.016777e+00,4.623714e+00,3.969019e+00,1.021303e+00,4.990322e+00,3.118059e+00,1.437907e+00,4.555966e+00
1000x400,4,4.189582e+00,5.310485e-01,4.720630e+00,4.211727e+00,5.291283e-01,4.740855e+00,3.955149e+00,7.623686e-01,4.717518e+00
1000x400,8,3.918898e+00,3.869388e-01,4.305837e+00,2.796529e+00,3.886444e-01,3.185173e+00,2.578088e+00,6.015637e-01,3.179652e+00
1000x400,16,2.098332e+00,2.234493e-01,2.321782e+00,2.097627e+00,2.222728e-01,2.319900e+00,2.097281e+00,4.220450e-01,2.519326e+00
