Grid,Threads,Base_Interp,Base_Mover,Base_Total,Imm_Interp,Imm_Mover,Imm_Total,Def_Interp,Def_Mover,Def_Total
250x100,2,4.819292e-01,4.322773e-01,9.142065e-01,4.805424e-01,4.282264e-01,9.087688e-01,4.904161e-01,5.917613e-01,1.082177e+00
250x100,4,4.880879e-01,2.451481e-01,7.332360e-01,4.870491e-01,2.429137e-01,7.299629e-01,4.850420e-01,3.949394e-01,8.799814e-01
250x100,8,4.949950e-01,2.355760e-01,7.305710e-01,4.932604e-01,2.336059e-01,7.268663e-01,4.925993e-01,3.906889e-01,8.832882e-01
250x100,16,4.833306e-01,2.432602e-01,7.265909e-01,4.904590e-01,2.503867e-01,7.408457e-01,4.819787e-01,4.000769e-01,8.820556e-01
500x200,2,5.131623e-01,4.499800e-01,9.631423e-01,5.455284e-01,4.617770e-01,1.007305e+00,5.005355e-01,5.857998e-01,1.086335e+00
500x200,4,5.034279e-01,2.438819e-01,7.473098e-01,5.056802e-01,2.473774e-01,7.530577e-01,5.056836e-01,3.991672e-01,9.048509e-01
500x200,8,5.290751e-01,2.480351e-01,7.771102e-01,5.342744e-01,2.524872e-01,7.867616e-01,5.256016e-01,4.063202e-01,9.319218e-01
500x200,16,5.032711e-01,2.530393e-01,7.563104e-01,5.133361e-01,2.603354e-01,7.736715e-01,5.141998e-01,4.112132e-01,9.254129e-01
1000x400,2,1.027419e+00,4.353138e-01,1.462733e+00,1.019623e+00,4.291601e-01,1.448783e+00,1.024973e+00,5.835986e-01,1.608572e+00
1000x400,4,1.033131e+00,2.605062e-01,1.293637e+00,1.013946e+00,2.526733e-01,1.266620e+00,1.009516e+00,3.937293e-01,1.403245e+00
1000x400,8,1.019440e+00,2.436213e-01,1.263062e+00,1.020407e+00,2.407545e-01,1.261161e+00,1.024183e+00,4.039650e-01,1.428148e+00
1000x400,16,1.049378e+00,2.526776e-01,1.302056e+00,1.026545e+00,2.518439e-01,1.278389e+00,1.058925e+00,4.088195e-01,1.467745e+00
