Config,Mode,Threads,Time
input_A.bin,Parallel,2,.019554
input_A.bin,Parallel,4,.011568
input_A.bin,Parallel,6,.009322
input_A.bin,Parallel,8,.010865
input_A.bin,Parallel,10,.009889
input_A.bin,Parallel,12,.010092
input_A.bin,Parallel,14,.014172
input_A.bin,Parallel,16,.015007
input_B.bin,Parallel,2,.095625
input_B.bin,Parallel,4,.055319
input_B.bin,Parallel,6,.043244
input_B.bin,Parallel,8,.047968
input_B.bin,Parallel,10,.041919
input_B.bin,Parallel,12,.052633
input_B.bin,Parallel,14,.052968
input_B.bin,Parallel,16,.052924
input_C.bin,Parallel,2,.075114
input_C.bin,Parallel,4,.044289
input_C.bin,Parallel,6,.040863
input_C.bin,Parallel,8,.044117
input_C.bin,Parallel,10,.041355
input_C.bin,Parallel,12,.044882
input_C.bin,Parallel,14,.058056
input_C.bin,Parallel,16,.058568
input_D.bin,Parallel,2,.386866
input_D.bin,Parallel,4,.221815
input_D.bin,Parallel,6,.167981
input_D.bin,Parallel,8,.204285
input_D.bin,Parallel,10,.175960
input_D.bin,Parallel,12,.161820
input_D.bin,Parallel,14,.211013
input_D.bin,Parallel,16,.198405
input_E.bin,Parallel,2,.553066
input_E.bin,Parallel,4,.320180
input_E.bin,Parallel,6,.393519
input_E.bin,Parallel,8,.567585
input_E.bin,Parallel,10,1.066967
input_E.bin,Parallel,12,1.697572
input_E.bin,Parallel,14,1.578164
input_E.bin,Parallel,16,1.614111
input_A.bin,Serial,1,.032156
input_B.bin,Serial,1,.175434
input_C.bin,Serial,1,.130188
input_D.bin,Serial,1,.724201
input_E.bin,Serial,1,1.030427
