Configuration,Points_Millions,Total_Cores,Interp_Time,Mover_Time,Overhead_Time,Total_Time
A,0.9,1,0.087344,0.134440,0.000867,0.222652
A,0.9,2,0.042664,0.061786,0.013931,0.118382
A,0.9,4,0.021761,0.031040,0.019619,0.072421
A,0.9,8,0.023137,0.031133,0.019624,0.073894
A,0.9,16,0.024413,0.031241,0.020676,0.076330
A,0.9,32,0.028012,0.031436,0.021586,0.081034
A,0.9,64,0.035039,0.031862,0.024861,0.091764
B,5.0,1,0.585497,0.869181,0.001008,1.455690
B,5.0,2,0.401822,0.542141,0.190653,1.134619
B,5.0,4,0.116407,0.171105,0.010157,0.297676
B,5.0,8,0.118459,0.171481,0.013288,0.303232
B,5.0,16,0.121950,0.171304,0.043093,0.336351
B,5.0,32,0.125089,0.171584,0.034785,0.331459
B,5.0,64,0.133904,0.172405,0.037421,0.343732
C,3.6,1,0.566961,0.647690,0.003809,1.218463
C,3.6,2,0.227866,0.261754,0.105352,0.594976
C,3.6,4,0.106522,0.126718,0.081351,0.314594
C,3.6,8,0.110798,0.127073,0.080688,0.318561
C,3.6,16,0.122249,0.129988,0.078118,0.330358
C,3.6,32,0.178552,0.168472,0.106478,0.453503
C,3.6,64,0.174520,0.131856,0.084597,0.390977
D,20.0,1,3.493749,3.784948,0.003922,7.282625
D,20.0,2,1.257937,1.444021,0.494115,3.196079
D,20.0,4,0.625181,0.727162,0.204105,1.556450
D,20.0,8,0.629341,0.725833,0.257986,1.613164
D,20.0,16,0.641329,0.727558,0.308778,1.677668
D,20.0,32,0.667085,0.728936,0.318088,1.714116
D,20.0,64,0.726003,0.728580,0.309539,1.764126
E,14.0,1,2.319705,2.443902,0.013692,4.777300
E,14.0,2,0.927459,1.015851,0.561650,2.504964
E,14.0,4,0.482150,0.510525,0.292464,1.285142
E,14.0,8,0.505620,0.516244,0.405840,1.427710
E,14.0,16,0.586086,0.510628,0.525331,1.622051
E,14.0,32,0.790757,0.510977,0.600649,1.902384
E,14.0,64,1.063009,0.517881,0.641381,2.222277
