ProblemSize,RUNS,TotalParticles,AvgE2ETime,AvgAlgoTime
8,67108864,536870912,0.994085425,0.994083761
16,33554432,536870912,0.888086336,0.888084941
32,16777216,536870912,0.873562785,0.873561086
64,8388608,536870912,0.790901653,0.790895562
128,4194304,536870912,0.732383143,0.732375965
256,2097152,536870912,0.659671812,0.659659371
512,1048576,536870912,0.661105670,0.661084782
1024,524288,536870912,0.620025663,0.619986341
2048,262144,536870912,0.615217175,0.615139272
4096,131072,536870912,0.627840596,0.627682076
8192,65536,536870912,0.631413141,0.631101742
16384,32768,536870912,0.624049246,0.623416495
32768,16384,536870912,0.629185265,0.627893878
65536,8192,536870912,0.635637791,0.633056129
131072,4096,536870912,0.647951795,0.642737968
262144,2048,536870912,0.663352872,0.652825385
524288,1024,536870912,0.719032156,0.697780165
1048576,512,536870912,0.808454667,0.766398296
2097152,256,536870912,1.032579767,0.948505962
4194304,128,536870912,1.192946096,1.023057754
8388608,64,536870912,1.386719320,1.047509100
16777216,32,536870912,1.731904654,1.050983010
33554432,16,536870912,2.428735186,1.066908258
67108864,8,536870912,3.775365735,1.052326953
134217728,4,536870912,6.499633546,1.055706589
268435456,2,536870912,12.009462797,1.051423337
536870912,1,536870912,80.196868633,57.886414426
