ProblemSize,RUNS,TotalParticles,AvgE2ETime,AvgAlgoTime
8,67108864,536870912,1.892762846,1.892760384
16,33554432,536870912,1.673809960,1.673808561
32,16777216,536870912,1.786166157,1.786162543
64,8388608,536870912,1.684504020,1.684501567
128,4194304,536870912,1.629677827,1.629673698
256,2097152,536870912,1.577715994,1.577706346
512,1048576,536870912,1.538757914,1.538739680
1024,524288,536870912,1.525046806,1.525013018
2048,262144,536870912,1.522812800,1.522744459
4096,131072,536870912,1.520456668,1.520323620
8192,65536,536870912,1.518368512,1.518091219
16384,32768,536870912,1.522576261,1.522012401
32768,16384,536870912,1.522135563,1.520931715
65536,8192,536870912,1.546943256,1.544555218
131072,4096,536870912,1.525358248,1.520268923
262144,2048,536870912,1.529813131,1.520219127
524288,1024,536870912,1.537359107,1.519333887
1048576,512,536870912,1.598515066,1.563737702
2097152,256,536870912,1.694061477,1.625057565
4194304,128,536870912,1.766634762,1.629858659
8388608,64,536870912,1.900738435,1.628205971
16777216,32,536870912,2.167887510,1.624464799
33554432,16,536870912,2.711375407,1.625842100
67108864,8,536870912,3.801649744,1.630224679
134217728,4,536870912,6.033302825,1.659728452
268435456,2,536870912,10.302022351,1.628149112
536870912,1,536870912,18.983459773,1.627033522
