ProblemSize,RUNS,TotalParticles,AvgE2ETime,AvgAlgoTime
8,67108864,536870912,2.067450431,2.067448057
16,33554432,536870912,1.927187006,1.927186158
32,16777216,536870912,2.014132483,2.014129659
64,8388608,536870912,1.876480364,1.876478349
128,4194304,536870912,1.834252067,1.834248219
256,2097152,536870912,1.779792433,1.779783014
512,1048576,536870912,1.744281649,1.744264720
1024,524288,536870912,1.724532288,1.724499401
2048,262144,536870912,1.712026921,1.711959336
4096,131072,536870912,1.711475052,1.711342837
8192,65536,536870912,1.726260725,1.725994333
16384,32768,536870912,1.710623724,1.710063303
32768,16384,536870912,1.757046762,1.755858195
65536,8192,536870912,1.716068974,1.713677050
131072,4096,536870912,1.718084684,1.713286569
262144,2048,536870912,1.744161092,1.734394839
524288,1024,536870912,1.757178735,1.738971186
1048576,512,536870912,1.871623110,1.836928938
2097152,256,536870912,1.914939922,1.846236970
4194304,128,536870912,2.022174588,1.885628290
8388608,64,536870912,2.279901847,2.007586531
16777216,32,536870912,2.379581059,1.836312341
33554432,16,536870912,2.912847392,1.827252344
67108864,8,536870912,4.001320320,1.831754244
134217728,4,536870912,6.166404820,1.827934094
268435456,2,536870912,10.561673856,1.879697852
536870912,1,536870912,19.237634117,1.879311711
